Question,Option 1,Option 2,Option 3,Option 4,Answer
"#include<iostream>
#define SQR(x) x*x;
using namespace std;
int main()
{
 int a0=2, a4=8, a7=SQR(a0+a4);
 int *a5; a5=&a0;
 int **a2=&a5;
 int ***a3=&a2;
 int ****a1 =&a3;
 cout<< (****a1&***&**&a3^(**&**&**&a3=a7));
 return 0;
}",102,24,Compile Time Error,26,2
"#include <iostream>
using namespace std;
#define print(x,y) cout<<y<<"" ""
#define PRADNYA(x,y) (x^y&x^y&1)
int main(int argc, char const *argv[])
{
 int arr1[][6]={1,2,3,6,5,6,9,9,1,6,5,6,1,2,3,6,5,6,1,2,3,7,9,6,6,5,6,1,2,3,2,4,3,6,5,6,1,2,3,6,5,6,8,7,5,6,5,6};
 int arr2[10]={0xBAD};
 arr2[5] = *(*(arr1+4)+3)&arr1[1][5];
 arr2[7] = *(*(arr1+1)+1)^arr1[5][1];
 arr2[1] = *(*(arr1+5)+5)|arr1[7][4];
 arr2[9] = *(*(arr1+4)+5)<arr1[3][2];
 arr2[3] = *(*(arr1+1)+2)|(arr1[1][3]|PRADNYA(*(*(arr1+1)+2),arr1[1][3]));
 for(int i=0; i<10; i++)
  print(0,arr2[i]);
 return 0;
}",2989 7 0 7 0 0 0 13 0 0,666568 7 0 7 0 0 0 13 0 1,666568 2 0 7 0 0 0 13 0 0,2989 2 0 7 0 0 0 13 0 1,1
"#include <iostream>
using namespace std;
#define print(x,y) (cout<<y*8)
void print_(int x, int val[][6])
{
 int average=0;
 for(int i=0;i <8;i++)
  for(int j=0; j<6; j++)
   average+=val[i][j];
 average = average/8;
 print (x,average);
}
int main(int argc, char const *argv[])
{
 int arr1[][6]={1,2,3,6,5,6,1,2,3,6,5,6,1,2,3,6,5,6,1,2,3,6,5,6,1,2,3,6,5,6,1,2,3,6,5,6,1,2,3,6,5,6,1,2,3,6,5,6};
 int *arr2[10];
 arr2[5] = *(arr1+4)+3;
 arr2[7] = *(arr1+1)+1;
 arr2[1] = *(arr1+5)+5;
 arr2[9] = *(arr1+4)+5;
 arr2[2] = *(arr1+3)+2;
 arr2[3] = *(arr1+8)+1;
 arr2[8] = *(arr1+1)+6;
 arr2[0] = *(arr1+3)+2;
 arr2[6] = *(arr1+4)+1;
 print_(6, arr1);
 return 0;
}",23,184,123656,Compile Time Error,2
"#include <iostream>
#include <string>
using namespace std;
typedef struct 
{
 long a; char q;
 void fun(){
  cout<<sizeof(a)+sizeof(q)<<"" "";
 }
}s;
typedef union {
 float f; double d;
 void fun(){
  cout<<sizeof(f)+sizeof(d)<<"" "";
 }
}c;
class pradnya
{
public:
 s c1; c s1;
 string  str = ""WELCOME"";
 pradnya(){
  str = ""PICT"";
 }
 void fun(){
  c1.fun(); s1.fun();
  cout<<sizeof(c1)<<"" ""<<sizeof(s1)<<"" ""<<str.size();
 }
};
int main(int argc, char const *argv[])
{
 pradnya p;
 cout<<sizeof(p)<<"" "";p.fun(); 
 return 0;
}",3 12 3 12 7,3 12 3 8 4,3 12 4 8 4,3 12 4 12 7,3
"#include<iostream>
using namespace std;

static short *arr, *brr;
int main()
{
 arr = (short *)512;
 brr = (short *)256;

 cout<<(short)(arr | brr)<<endl;
 return 0;
}
",768,Compile Time Error,Runtime Time Error,128,2
"#include<iostream>
using namespace std;
int main()
{
 short a=(1<<16)+(1<<10);
 short b = a <<1;
 short c = b >>3;
 short d = (b & c) >> 1;
 short e = (b | c) >> 1;
 cout<<d + e<<endl;
}",1007,1324,1821,1152,4
"#define MyChoicel 3
#include<stdio.h>
int main()
{
 char str[100];
 void * var = (void *)sprintf(str,""\""%s""""Pradnya""""\"""""""""""",""Now"",""Time"","""",""LetsCelebrate"");

 int MyChoice1 = 4;
 if(!((unsigned int)var%(MyChoicel*2)))
  printf(""Welcome"");
 if(!((signed long) var%(MyChoice1*2)))
  printf(""To"");
 if(!((signed int)var%(MyChoicel*2)))
  printf(""Event"");
 return 0;
}","Welcome
To
Event
","Welcome
Event
","Welcome
To",Error,4
"#include<iostream>
#include<math.h>
using namespace std;
int main()
{
 int arr[3<<1][5<<6][1<<2][6<<3]={0};
 for(int i=0; i<3<<1;i++)
  for(int j=0; j<5<<6;j++)
   for(int k=0; k<1<<2; k++)
    for(int l=0; l<6<<3;l++)
     arr[i][j][k][l] = (i*j*k*l)%(i+j+k+l+1);
 cout<<(arr[3][4*4][5/2][6*6] | arr[1][98][1<<1][3<<2]);
}",102,106,110,Compile Time Error,2
"#include <stdio.h>
int fun();
int fun3(int *a)
{
        int i;
        for(i=0;i<-1[a];i++)
        fun();
}
int fun2()
{
        static int a=10;
        return a++;
}
int fun()
{
if(fun2()%2==0)
printf(""hello "");
else
printf(""world"");
}
int main() 
{
int a[]={1,2,3,4,5};        
fun3(a+2);
        return 0;
}
",hello world,hello hello,no output,hello,3
"#include <stdio.h>
int fun();
int fun3(int *a)
{
        int i;
        for(i=0;i<(-1)[a];i++)
        fun();
}
int fun2()
{
        static int a=10;
        return (a++,a++);
}
int fun()
{
if(fun2()%2==0)
printf(""hello "");
else
printf(""world "");
}
int main() 
{
int a[]={1,2,3,4,5};        
fun3(a+2);
        return 0;
}
",no output,hello hello,hello world,world world,4
